rentree_scolaire;departement;numero_lycee;secteur;terminales_g;terminales_g_filles;terminales_g_garcons;terminales_sti2d;terminales_sti2d_filles;terminales_sti2d_garcons;terminales_stl;terminales_stl_filles;terminales_stl_garcons;terminales_stmg;terminales_stmg_filles;terminales_stmg_garcons;terminales_st2s;terminales_st2s_filles;terminales_st2s_garcons;terminales_std2a;terminales_std2a_filles;terminales_std2a_garcons;terminales_sthr;terminales_tmd
2020;LOIRE;0422132P;PUBLIC;88;48;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;LOIRE;0420008F;PUBLIC;118;63;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;LOIRE;0421025L;PRIVE;42;22;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;LOIRE;0422284E;PUBLIC;167;114;53;0;0;0;0;0;0;32;11;21;0;0;0;0;0;0;0;0
2020;LOIRE;0421788R;PUBLIC;154;104;50;0;0;0;0;0;0;50;28;22;48;40;8;0;0;0;0;0
2020;LOIRE;0420013L;PUBLIC;143;85;58;0;0;0;0;0;0;35;17;18;47;35;12;0;0;0;0;0
2020;LOIRE;0420014M;PUBLIC;95;40;55;17;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;LOIRE;0420018S;PUBLIC;277;161;116;52;2;50;0;0;0;75;46;29;0;0;0;0;0;0;0;0
2020;LOIRE;0420973E;PRIVE;81;46;35;0;0;0;0;0;0;20;11;9;0;0;0;0;0;0;0;0
2020;LOIRE;0422318S;PRIVE;57;31;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;LOIRE;0420027B;PUBLIC;151;100;51;28;0;28;0;0;0;56;43;13;0;0;0;0;0;0;0;0
2020;LOIRE;0420031F;PUBLIC;250;180;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;LOIRE;0420033H;PUBLIC;97;70;27;0;0;0;8;2;6;98;54;44;60;55;5;0;0;0;0;0
2020;LOIRE;0420034J;PUBLIC;154;66;88;108;12;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;LOIRE;0420974F;PRIVE;0;0;0;0;0;0;0;0;0;33;18;15;0;0;0;0;0;0;0;0
2020;LOIRE;0421023J;PRIVE;81;41;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;LOIRE;0420040R;PUBLIC;226;124;102;26;4;22;0;0;0;64;40;24;0;0;0;0;0;0;0;0
